,Call OI:,Call Volume:,Put OI:,Put Volume,Req. Time:,ticker
0,482054,99661,1137272,114231,2019-03-18 20:53:07.778311+00:00,TSLA
0,38772,672,18502,645,2019-03-18 20:54:46.245311+00:00,PLNT
0,482054,99661,1137272,114231,2019-03-18 20:57:42.251311+00:00,TSLA
0,38772,672,18502,645,2019-03-18 20:57:44.315311+00:00,PLNT
0,4390,66,3612,101,2019-03-18 20:57:46.355311+00:00,SNBR
0,24266,615,7121,596,2019-03-18 20:57:48.409311+00:00,DATA
0,16652,575,9503,623,2019-03-18 20:57:50.475311+00:00,TEAM
0,482054,99661,1137272,114231,2019-03-18 21:02:30.465311+00:00,TSLA
0,38772,672,18502,645,2019-03-18 21:02:32.524311+00:00,PLNT
0,4390,66,3612,101,2019-03-18 21:02:34.550311+00:00,SNBR
0,24266,615,7121,596,2019-03-18 21:02:36.640311+00:00,DATA
0,16652,575,9503,623,2019-03-18 21:02:38.661311+00:00,TEAM
0,184672,11076,170495,8768,2019-03-18 21:02:40.712311+00:00,CRM
0,13683,2811,10702,2386,2019-03-18 21:02:42.757311+00:00,RUN
0,4875,149,4361,133,2019-03-18 21:02:44.818311+00:00,FIZZ
0,6160,4891,15775,1624,2019-03-18 21:02:46.849311+00:00,YETI
0,15297,578,47554,608,2019-03-18 21:02:48.896311+00:00,AER
0,348,8,256,0,2019-03-18 21:02:50.940311+00:00,FWONK
0,5807256,912327,13053102,1276594,2019-03-18 21:02:52.803311+00:00,SPY
0,3200962,87979,7026571,96114,2019-03-18 21:02:55.035311+00:00,EEM
